번호	카드명	타입	효과	에너지	인물(모티브)	가문	등급
C032	디펜스 업	특수	방어력 +20% (2턴)	2	엘더 벨몬트	공용	Rare
C033	속도 증가	특수	다음 턴 카드 2장 사용 가능	3	엘레나 드레이크	공용	Rare
C034	기회 포착	특수	다음 공격 100% 명중	1	카이 드레이크	공용	Rare
C035	에너지 회복	특수	에너지 +2	1	루시안 로즈가든	공용	Rare
C036	정신 집중	특수	다음 카드 효과 1.5배	2	세라피나 벨몬트	공용	Epic
C037	마나 차단	특수	상대 에너지 회복 -2	2	루시안 로즈가든	공용	Epic
C038	혼란	특수	상대 랜덤 카드 사용 (1턴)	3	다리우스 블랙우드	공용	Epic
C039	운명의 주사위	특수	랜덤 효과 발동	1	엘레나 드레이크	공용	Epic
C040	시간 정지	특수	상대 1턴 행동 불가	3	루시안 로즈가든	공용	Epic
C041	강력한 일격	공격	HP 10% 이하일 때 피해 100	3	세라피나 벨몬트	공용	Epic
C042	재빠른 공격	공격	"피해 15, 즉시 발동"	1	엘레나 드레이크	공용	Epic
C043	복수의 일격	공격	받은 피해의 50%만큼 반격	2	마르쿠스 벨몬트	공용	Epic
C044	마나 폭발	특수	남은 에너지×15 피해	2	루시안 로즈가든	공용	Epic
C045	강화 폭풍	공격	"피해 40, 다음 턴 방어력 -20%"	2	레온 아르데니아	공용	Epic
C046	보호 장벽	방어	2턴간 피해 -25%	2	이리스 벨몬트	공용	Legendary
C047	에너지 드레인	특수	"상대 에너지 -2, 내 에너지 +1"	2	다리우스 블랙우드	공용	Legendary
C048	집중 회피	방어	"이번 턴 피해 0%, 다음 턴 공격 불가"	2	미라	공용	Legendary
C049	전투의 함성	특수	모든 공격 피해 +10% (3턴)	2	마르쿠스 벨몬트	공용	Legendary
C050	최후의 한 방	공격	HP 10 이하일 때 피해 150	3	세라피나 벨몬트	공용	Legendary
C051	결투의 서약	공격	"상대 피해 -30%, 다음 공격 1.5배"	2	가문 전용	벨몬트	Normal
C052	마법 검격	공격	"피해 35, 다음 턴 방어 +10%"	2	가문 전용	벨몬트	Normal
C053	방어의 신념	방어	이번 턴 피해 -60%	2	가문 전용	벨몬트	Normal
C054	심연의 결의	특수	HP 30% 이하일 때 보호막+반격 40	3	가문 전용	벨몬트	Normal
C055	왕가의 위엄	특수	상대 공격력 -20% (2턴)	2	가문 전용	벨몬트	Rare
C056	성검 소환	공격	"피해 50, 다음 턴 사용 불가"	3	가문 전용	벨몬트	Rare
C057	기사단의 의지	특수	방어 카드 효과 +50% (2턴)	2	가문 전용	벨몬트	Rare
C058	마력 보호막	방어	3턴간 피해 -15%	2	가문 전용	벨몬트	Epic
C059	전투 회복	회복	"HP +25, 에너지 +1"	2	가문 전용	벨몬트	Epic
C060	귀족의 자존심	특수	HP 50% 이하 시 공격력 +25%	1	가문 전용	벨몬트	Legendary
C061	금권의 지배	특수	"상대 에너지 -2, 내 에너지 +2"	3	가문 전용	드레이크	Normal
C062	계약의 인장	특수	"다음 카드 효과 2배, HP -10"	2	가문 전용	드레이크	Normal
C063	자본의 힘	특수	"HP 10% 소모, 피해 +50% (1턴)"	1	가문 전용	드레이크	Normal
C064	이자 수익	특수	2턴 후 에너지 +3	1	가문 전용	드레이크	Normal
C065	상인의 통찰	특수	랜덤 카드 1장 복제	2	가문 전용	드레이크	Rare
C066	무역 협정	특수	"내 에너지 +2, 상대 +1"	2	가문 전용	드레이크	Rare
C067	환율 조작	특수	다음 카드 비용 -1	1	가문 전용	드레이크	Rare
C068	자산 방어	방어	"피해 -40%, 에너지 손실 없음"	2	가문 전용	드레이크	Epic
C069	위조 문서	특수	상대 방어 무효화	3	가문 전용	드레이크	Epic
C070	금빛 폭풍	공격	"피해 60, 다음 턴 사용 불가"	3	가문 전용	드레이크	Legendary
C071	환상의 거울	특수	상대가 방금 쓴 카드 복사	2	가문 전용	로즈가든	Normal
C072	그림자 복제	특수	내가 쓴 마지막 카드 복제	2	가문 전용	로즈가든	Normal
C073	비밀의 장미	특수	상대 손패 중 1장 무작위 폐기	3	가문 전용	로즈가든	Normal
C074	거짓의 향기	특수	상대 다음 공격 피해 -30%	1	가문 전용	로즈가든	Normal
C075	가면무도회	특수	내 카드 3장 셔플 후 1장 복사	2	가문 전용	로즈가든	Rare
C076	장미의 가시	공격	"피해 25, 상대 회복 불가(2턴)"	2	가문 전용	로즈가든	Rare
C077	시크릿 코드	특수	내 다음 카드 확정 크리티컬	2	가문 전용	로즈가든	Rare
C078	환영의 베일	방어	"피해 -50%, 반격 20"	2	가문 전용	로즈가든	Epic
C079	장미의 포옹	회복	"HP +30, 다음 턴 피해 -20%"	2	가문 전용	로즈가든	Epic
C080	심리전	특수	상대 손패 공개	1	가문 전용	로즈가든	Legendary
C081	성스러운 빛	회복	HP +50	3	가문 전용	윈터스	Normal
C082	힐 오라	회복	3턴간 HP +10씩 회복	2	가문 전용	윈터스	Normal
C083	천상의 보호	방어	"피해 -60%, 상태이상 해제"	2	가문 전용	윈터스	Normal
C084	재생의 서클	회복	"HP +20, 다음 턴 자동 회복 +10"	2	가문 전용	윈터스	Normal
C085	정화	특수	모든 디버프 제거	1	가문 전용	윈터스	Rare
C086	얼음의 방벽	방어	2턴간 피해 -25%	2	가문 전용	윈터스	Rare
C087	생명의 축복	특수	"HP +30, 에너지 -1"	2	가문 전용	윈터스	Rare
C088	얼음 결정	공격	"피해 30, 상대 속도 -1턴"	2	가문 전용	윈터스	Epic
C089	냉정한 판단	특수	"카드 뽑기 +1, 다음 턴 피해 +10%"	1	가문 전용	윈터스	Epic
C090	순백의 기도	회복	"HP +20, 전체 피해 -10% (2턴)"	2	가문 전용	윈터스	Legendary
C091	어둠의 계약	특수	"HP -20, 다음 턴 피해 +100%"	2	가문 전용	블랙우드	Normal
C092	피의 제물	공격	"HP -10, 피해 70"	3	가문 전용	블랙우드	Normal
C093	저주의 손길	특수	상대 HP 회복 불가 (3턴)	2	가문 전용	블랙우드	Normal
C094	공허의 포옹	특수	"HP -15, 상대 에너지 -2"	2	가문 전용	블랙우드	Normal
C095	어둠의 격류	공격	"피해 40, 자신 HP -5"	2	가문 전용	블랙우드	Rare
C096	혼돈의 파동	특수	양쪽 모두 랜덤 카드 1장 발동	2	가문 전용	블랙우드	Rare
C097	절망의 미소	특수	"상대 피해 +20%, 내 피해 +40% (2턴)"	1	가문 전용	블랙우드	Rare
C098	죽음의 장막	방어	"피해 -70%, 다음 턴 HP -10"	2	가문 전용	블랙우드	Epic
C099	그림자의 낫	공격	"HP -10, 피해 80 (크리 불가)"	3	가문 전용	블랙우드	Epic
C100	심연 폭발	공격	HP 절반 이하일 때 피해 2배	3	가문 전용	블랙우드	Legendary
